10-22 14:43:13.150  1150  4796 I NetworkScheduler.Stats: Task com.google.android.gms/com.google.android.gms.pay.gcmtask.PayGcmTaskService started execution. cause:5 exec_start_elapsed_seconds: 261 [CONTEXT service_id=218 ]
10-22 14:43:13.226  1150  4796 I NetworkScheduler.Stats: Task com.google.android.gms/com.google.android.gms.pay.gcmtask.PayGcmTaskService finished executing. cause:5 result: 2 elapsed_millis: 385 uptime_millis: 385 exec_start_elapsed_seconds: 260 [CONTEXT service_id=218 ]
10-22 14:43:13.238   522   553 D ArtManagerInternalImpl: /data/misc/iorapd/com.example.dogglers/1/com.example.dogglers.GridListActivity/compiled_traces/compiled_trace.pb doesn't exist
10-22 14:43:13.239   522   553 I ActivityTaskManager: Displayed com.example.dogglers/.GridListActivity: +1s84ms
10-22 14:43:13.244   522   542 D EventSequenceValidator: Transition from ACTIVITY_LAUNCHED to ACTIVITY_FINISHED
10-22 14:43:13.314  6070  6070 I org.webrtc.Logging: vclib: jingle_peerconnection_so (null) was loaded normally!
10-22 14:43:13.315  6070  6070 I org.webrtc.Logging: vclib: Loading native library: jingle_peerconnection_so complete.
10-22 14:43:13.330  1192  1192 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():3280
10-22 14:43:13.342  5788  5788 I ViewInteraction: Performing 'scroll RecyclerView to position: 5' action on view view.getId() is <2131230934/com.example.dogglers:id/grid_recycler_view>
10-22 14:43:13.358  1192  1192 I GoogleInputMethodService: GoogleInputMethodService.updateDeviceLockedStatus():2169 repeatCheckTimes = 0, unlocked = true
10-22 14:43:13.358  1192  1192 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1960 onStartInput(EditorInfo{inputType=0x0(NULL) imeOptions=0x0 privateImeOptions=null actionName=UNSPECIFIED actionLabel=null actionId=0 initialSelStart=-1 initialSelEnd=-1 initialCapsMode=0x0 hintText=null label=null packageName=com.example.dogglers fieldId=-1 fieldName=null extras=null}, false)
10-22 14:43:13.359  1192  1192 I GoogleInputMethodService: GoogleInputMethodService.shouldHideHeaderOnInitialState():4081 ShouldHideHeaderOnInitialState = false
10-22 14:43:13.388  1192  1192 I GoogleInputMethodService: GoogleInputMethodService.updateDeviceLockedStatus():2169 repeatCheckTimes = 2, unlocked = true
10-22 14:43:13.493  5788  5788 I ViewInteraction: Checking 'MatchesViewAssertion{viewMatcher=(view has effective visibility <VISIBLE> and view.getGlobalVisibleRect() to return non-empty rectangle)}' assertion on view an instance of android.widget.TextView and view.getText() with or without transformation to match: is "Bella"
10-22 14:43:13.510   522   542 D EventSequenceValidator: Transition from ACTIVITY_FINISHED to INTENT_STARTED
10-22 14:43:13.536  5788  5788 D LifecycleMonitor: Lifecycle status change: com.example.dogglers.GridListActivity@29e8bb6 in: PAUSED
10-22 14:43:13.537  5788  5788 V ActivityScenario: Update currentActivityStage to PAUSED, currentActivity=com.example.dogglers.GridListActivity@29e8bb6
10-22 14:43:13.538   522   536 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:13.539   522   536 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
